,price,mercadoPago,datetime,operation
0,284.50,False,2022-07-29 18:04:03.078653,Compra
1,285.00,False,2022-07-29 18:04:03.108669,Compra
2,286.00,False,2022-07-29 18:04:03.134672,Compra
3,286.00,False,2022-07-29 18:04:03.162671,Compra
4,286.00,False,2022-07-29 18:04:03.187673,Compra
5,286.00,False,2022-07-29 18:04:03.212668,Compra
6,286.14,False,2022-07-29 18:04:03.238669,Compra
7,286.14,False,2022-07-29 18:04:03.262667,Compra
8,286.14,True,2022-07-29 18:04:03.288669,Compra
9,286.15,True,2022-07-29 18:04:03.311670,Compra
10,284.50,False,2022-07-29 18:04:08.494841,Compra
11,285.00,False,2022-07-29 18:04:08.515828,Compra
12,286.00,False,2022-07-29 18:04:08.535824,Compra
13,286.00,False,2022-07-29 18:04:08.586829,Compra
14,286.00,False,2022-07-29 18:04:08.611827,Compra
15,286.00,False,2022-07-29 18:04:08.632829,Compra
16,286.14,False,2022-07-29 18:04:08.652830,Compra
17,286.14,False,2022-07-29 18:04:08.672827,Compra
18,286.14,True,2022-07-29 18:04:08.693828,Compra
19,286.15,True,2022-07-29 18:04:08.743827,Compra
20,286.15,False,2022-07-29 18:04:14.018997,Compra
21,286.15,False,2022-07-29 18:04:14.051979,Compra
22,286.15,True,2022-07-29 18:04:14.080980,Compra
23,286.19,False,2022-07-29 18:04:14.110982,Compra
24,286.20,True,2022-07-29 18:04:14.141983,Compra
25,286.24,True,2022-07-29 18:04:14.171980,Compra
26,286.24,True,2022-07-29 18:04:14.204985,Compra
27,286.25,False,2022-07-29 18:04:14.237979,Compra
28,286.25,True,2022-07-29 18:04:14.268979,Compra
29,286.30,False,2022-07-29 18:04:14.297990,Compra
30,286.30,True,2022-07-29 18:04:19.652715,Compra
31,286.40,False,2022-07-29 18:04:19.682708,Compra
32,286.40,True,2022-07-29 18:04:19.714703,Compra
33,286.42,True,2022-07-29 18:04:19.745701,Compra
34,286.43,True,2022-07-29 18:04:19.776705,Compra
35,286.44,True,2022-07-29 18:04:19.806706,Compra
36,286.45,True,2022-07-29 18:04:19.837709,Compra
37,286.48,True,2022-07-29 18:04:19.867711,Compra
