,price,mercadoPago,efectivo,transferencia,bbva,uala,datetime,operation
0,274.37,False,False,False,False,True,2022-08-02 08:27:07.030908,Compra
1,274.38,False,False,False,False,False,2022-08-02 08:27:07.057909,Compra
2,274.49,False,False,False,False,False,2022-08-02 08:27:07.082909,Compra
3,274.55,True,False,False,False,False,2022-08-02 08:27:07.106885,Compra
4,274.77,True,False,False,False,False,2022-08-02 08:27:07.133882,Compra
5,274.80,True,False,False,False,False,2022-08-02 08:27:07.158880,Compra
6,274.85,True,False,False,False,True,2022-08-02 08:27:07.183882,Compra
7,274.87,True,False,False,False,False,2022-08-02 08:27:07.210882,Compra
8,274.88,True,False,False,False,False,2022-08-02 08:27:07.234880,Compra
9,274.88,False,False,False,False,False,2022-08-02 08:27:07.260883,Compra
10,274.37,False,False,False,False,True,2022-08-02 08:27:12.441552,Compra
11,274.38,False,False,False,False,False,2022-08-02 08:27:12.458556,Compra
12,274.49,False,False,False,False,False,2022-08-02 08:27:12.477554,Compra
13,274.55,True,False,False,False,False,2022-08-02 08:27:12.509555,Compra
14,274.77,True,False,False,False,False,2022-08-02 08:27:12.540555,Compra
15,274.80,True,False,False,False,False,2022-08-02 08:27:12.558552,Compra
16,274.85,True,False,False,False,True,2022-08-02 08:27:12.577553,Compra
17,274.87,True,False,False,False,False,2022-08-02 08:27:12.596553,Compra
18,274.88,True,False,False,False,False,2022-08-02 08:27:12.616556,Compra
19,274.88,False,False,False,False,False,2022-08-02 08:27:12.634554,Compra
20,274.90,False,False,False,False,False,2022-08-02 08:27:17.870922,Compra
21,274.92,False,False,True,False,False,2022-08-02 08:27:17.902923,Compra
22,274.92,True,False,False,False,True,2022-08-02 08:27:17.933925,Compra
23,274.93,True,False,True,False,False,2022-08-02 08:27:17.963923,Compra
24,274.97,True,False,True,False,True,2022-08-02 08:27:17.995924,Compra
25,274.99,True,False,True,False,True,2022-08-02 08:27:18.026927,Compra
26,274.99,False,False,True,False,False,2022-08-02 08:27:18.057924,Compra
27,275.00,False,True,False,False,False,2022-08-02 08:27:18.091919,Compra
28,275.00,False,True,False,False,False,2022-08-02 08:27:18.124921,Compra
29,275.00,True,False,False,False,False,2022-08-02 08:27:18.156927,Compra
30,275.00,True,False,True,False,False,2022-08-02 08:27:23.613953,Compra
31,275.00,True,False,True,False,True,2022-08-02 08:27:23.642957,Compra
32,275.00,True,False,False,True,True,2022-08-02 08:27:23.673955,Compra
33,275.11,True,False,False,False,False,2022-08-02 08:27:23.703955,Compra
34,275.35,False,False,False,False,True,2022-08-02 08:27:23.732955,Compra
35,275.40,True,False,False,False,False,2022-08-02 08:27:23.762956,Compra
36,275.43,True,False,False,False,True,2022-08-02 08:27:23.795956,Compra
37,275.43,True,False,False,False,True,2022-08-02 08:27:23.828955,Compra
38,275.44,True,False,False,False,False,2022-08-02 08:27:23.861956,Compra
39,275.45,False,False,True,False,False,2022-08-02 08:27:23.891956,Compra
