,price,mercadoPago,efectivo,transferencia,bbva,uala,datetime,operation
0,282.00,True,False,False,False,True,2022-08-03 13:46:09.859695,Compra
1,280.50,True,False,False,False,False,2022-08-03 13:46:09.893696,Compra
2,280.00,True,False,True,False,False,2022-08-03 13:46:09.925692,Compra
3,279.50,True,False,False,False,False,2022-08-03 13:46:09.955695,Compra
4,279.00,True,False,True,False,False,2022-08-03 13:46:09.985692,Compra
5,276.10,True,False,False,False,False,2022-08-03 13:46:10.017693,Compra
6,275.60,True,False,True,False,False,2022-08-03 13:46:10.047694,Compra
7,275.00,False,False,False,False,True,2022-08-03 13:46:10.078694,Compra
8,271.00,True,False,False,False,True,2022-08-03 13:46:10.110693,Compra
9,270.60,True,False,False,False,False,2022-08-03 13:46:10.153692,Compra
10,270.59,True,False,False,False,False,2022-08-03 13:46:15.449674,Compra
11,270.50,False,False,True,False,False,2022-08-03 13:46:15.473674,Compra
12,270.00,True,False,False,False,False,2022-08-03 13:46:15.500672,Compra
13,269.00,True,False,False,False,False,2022-08-03 13:46:15.528673,Compra
14,268.00,True,False,False,False,True,2022-08-03 13:46:15.554672,Compra
15,265.00,True,False,False,False,True,2022-08-03 13:46:15.581673,Compra
16,260.00,True,False,False,False,False,2022-08-03 13:46:15.607673,Compra
17,260.00,False,False,True,False,False,2022-08-03 13:46:15.632674,Compra
18,255.00,True,False,False,False,False,2022-08-03 13:46:15.658677,Compra
19,251.00,True,False,True,False,False,2022-08-03 13:46:15.686673,Compra
20,250.00,False,False,False,False,False,2022-08-03 13:46:20.928073,Compra
21,250.00,True,False,False,False,False,2022-08-03 13:46:20.957074,Compra
22,250.00,False,False,True,False,False,2022-08-03 13:46:20.987074,Compra
23,226.00,True,False,True,False,True,2022-08-03 13:46:21.021075,Compra
24,226.00,False,False,True,False,False,2022-08-03 13:46:21.051074,Compra
25,225.07,True,False,True,False,False,2022-08-03 13:46:21.083074,Compra
26,223.50,True,False,False,False,True,2022-08-03 13:46:21.120075,Compra
27,220.00,True,False,True,False,True,2022-08-03 13:46:21.156075,Compra
28,215.70,True,False,True,False,True,2022-08-03 13:46:21.193075,Compra
29,215.65,True,False,False,False,False,2022-08-03 13:46:21.230074,Compra
30,215.00,True,False,False,False,True,2022-08-03 13:46:26.494713,Compra
31,210.80,True,False,False,False,False,2022-08-03 13:46:26.524712,Compra
32,204.70,True,False,False,False,True,2022-08-03 13:46:26.551710,Compra
33,203.11,True,False,False,False,False,2022-08-03 13:46:26.575711,Compra
34,200.00,True,False,False,False,False,2022-08-03 13:46:26.600713,Compra
35,198.60,True,False,True,False,False,2022-08-03 13:46:26.625715,Compra
36,198.00,True,False,False,False,False,2022-08-03 13:46:26.649711,Compra
37,189.00,False,False,False,False,False,2022-08-03 13:46:26.673710,Compra
38,187.50,False,False,True,False,False,2022-08-03 13:46:26.699712,Compra
39,145.65,False,False,True,False,False,2022-08-03 13:46:26.725712,Compra
