,price,mercadoPago,datetime,operation
0,285.00,False,2022-07-29 18:12:03.497067,Venta
1,284.50,True,2022-07-29 18:12:03.525072,Venta
2,284.25,True,2022-07-29 18:12:03.548067,Venta
3,284.21,True,2022-07-29 18:12:03.571068,Venta
4,284.20,True,2022-07-29 18:12:03.595069,Venta
5,284.03,False,2022-07-29 18:12:03.618069,Venta
6,284.02,True,2022-07-29 18:12:03.643077,Venta
7,284.00,False,2022-07-29 18:12:03.671069,Venta
8,283.71,True,2022-07-29 18:12:03.697076,Venta
9,283.70,True,2022-07-29 18:12:03.748073,Venta
10,285.00,False,2022-07-29 18:12:08.829356,Venta
11,284.50,True,2022-07-29 18:12:08.849351,Venta
12,284.25,True,2022-07-29 18:12:08.870345,Venta
13,284.21,True,2022-07-29 18:12:08.920340,Venta
14,284.20,True,2022-07-29 18:12:08.943346,Venta
15,284.03,False,2022-07-29 18:12:08.969875,Venta
16,284.02,True,2022-07-29 18:12:08.993868,Venta
17,284.00,False,2022-07-29 18:12:09.013871,Venta
18,283.71,True,2022-07-29 18:12:09.038870,Venta
19,283.70,True,2022-07-29 18:12:09.056868,Venta
20,283.50,False,2022-07-29 18:12:14.323104,Venta
21,283.20,True,2022-07-29 18:12:14.356103,Venta
22,283.15,True,2022-07-29 18:12:14.388106,Venta
23,283.15,True,2022-07-29 18:12:14.418572,Venta
24,283.10,True,2022-07-29 18:12:14.450573,Venta
25,283.10,True,2022-07-29 18:12:14.516570,Venta
26,283.10,True,2022-07-29 18:12:14.554569,Venta
27,283.06,True,2022-07-29 18:12:14.590571,Venta
28,283.02,True,2022-07-29 18:12:14.623569,Venta
29,283.00,True,2022-07-29 18:12:14.656573,Venta
30,283.00,True,2022-07-29 18:12:20.083439,Venta
31,282.60,False,2022-07-29 18:12:20.115439,Venta
32,282.07,True,2022-07-29 18:12:20.147440,Venta
33,282.06,True,2022-07-29 18:12:20.181439,Venta
34,282.03,True,2022-07-29 18:12:20.212446,Venta
35,282.03,True,2022-07-29 18:12:20.244444,Venta
36,282.01,True,2022-07-29 18:12:20.275440,Venta
37,282.00,False,2022-07-29 18:12:20.305440,Venta
38,282.00,True,2022-07-29 18:12:20.333439,Venta
39,282.00,True,2022-07-29 18:12:20.360440,Venta
40,282.00,True,2022-07-29 18:12:25.780007,Venta
41,281.60,True,2022-07-29 18:12:25.813008,Venta
42,281.52,False,2022-07-29 18:12:25.844006,Venta
43,281.51,True,2022-07-29 18:12:25.875006,Venta
44,281.31,True,2022-07-29 18:12:25.908006,Venta
45,281.17,True,2022-07-29 18:12:25.940006,Venta
46,281.00,True,2022-07-29 18:12:25.972009,Venta
47,280.79,True,2022-07-29 18:12:26.004012,Venta
48,280.20,True,2022-07-29 18:12:26.037007,Venta
49,280.10,True,2022-07-29 18:12:26.068008,Venta
50,280.10,True,2022-07-29 18:12:31.528841,Venta
51,280.05,False,2022-07-29 18:12:31.564830,Venta
52,280.00,False,2022-07-29 18:12:31.594847,Venta
53,280.00,True,2022-07-29 18:12:31.624849,Venta
54,280.00,True,2022-07-29 18:12:31.655854,Venta
55,280.00,False,2022-07-29 18:12:31.683859,Venta
56,280.00,True,2022-07-29 18:12:31.712854,Venta
57,280.00,True,2022-07-29 18:12:31.740856,Venta
58,280.00,False,2022-07-29 18:12:31.767855,Venta
59,280.00,True,2022-07-29 18:12:31.794717,Venta
60,280.00,True,2022-07-29 18:12:37.131663,Venta
61,279.50,True,2022-07-29 18:12:37.162666,Venta
62,279.00,False,2022-07-29 18:12:37.188651,Venta
63,279.00,False,2022-07-29 18:12:37.218654,Venta
64,279.00,True,2022-07-29 18:12:37.245655,Venta
65,279.00,True,2022-07-29 18:12:37.271652,Venta
66,278.40,True,2022-07-29 18:12:37.298659,Venta
67,278.00,True,2022-07-29 18:12:37.326655,Venta
68,278.00,True,2022-07-29 18:12:37.352652,Venta
69,277.00,True,2022-07-29 18:12:37.379663,Venta
70,277.00,True,2022-07-29 18:12:42.796019,Venta
71,277.00,True,2022-07-29 18:12:42.836027,Venta
72,276.50,True,2022-07-29 18:12:42.872023,Venta
73,276.05,True,2022-07-29 18:12:42.909020,Venta
74,276.01,True,2022-07-29 18:12:42.950022,Venta
75,276.00,False,2022-07-29 18:12:42.994023,Venta
76,275.02,True,2022-07-29 18:12:43.040030,Venta
77,275.00,False,2022-07-29 18:12:43.089022,Venta
78,275.00,True,2022-07-29 18:12:43.160020,Venta
79,275.00,True,2022-07-29 18:12:43.211021,Venta
80,275.00,True,2022-07-29 18:12:48.786670,Venta
81,275.00,True,2022-07-29 18:12:48.820670,Venta
82,275.00,True,2022-07-29 18:12:48.850665,Venta
83,272.50,False,2022-07-29 18:12:48.882664,Venta
84,271.00,True,2022-07-29 18:12:48.915664,Venta
85,270.00,True,2022-07-29 18:12:48.944667,Venta
86,270.00,True,2022-07-29 18:12:48.974668,Venta
87,270.00,True,2022-07-29 18:12:49.000663,Venta
88,270.00,True,2022-07-29 18:12:49.030663,Venta
